date,open,high,low,close,volume
2020-04-27,9.9500,9.9500,9.8600,9.9000,176099
2020-04-28,9.9283,9.9600,9.8100,9.9000,1229853
2020-04-29,9.9000,9.9700,9.8999,9.9000,9164
2020-04-30,9.9000,9.9000,9.8500,9.8500,83005
2020-05-01,9.9000,9.9000,9.8300,9.8500,255938
2020-05-04,9.8800,9.8800,9.8300,9.8400,213481
2020-05-05,9.8800,9.8800,9.8417,9.8417,789667
2020-05-06,10.0400,10.0400,9.8570,9.8570,1611
2020-05-07,9.8700,9.8700,9.8400,9.8600,156626
2020-05-08,9.8500,10.0000,9.8500,10.0000,349667
2020-05-11,10.1000,10.1000,9.9500,9.9500,721489
2020-05-12,10.5900,10.5900,9.9700,10.0499,110740
2020-05-13,10.4000,10.4000,10.0700,10.1500,238113
2020-05-14,10.6800,10.6800,10.1402,10.1650,303741
2020-05-15,10.2400,10.2500,10.1800,10.1870,192508
2020-05-18,10.1700,10.3300,10.1450,10.2000,1122958
2020-05-19,10.2200,10.2500,10.0000,10.2000,170181
2020-05-20,10.2200,10.2900,10.0801,10.2500,199387
2020-05-21,10.2500,10.4000,10.2100,10.2500,285436
2020-05-22,10.2500,10.2900,10.2000,10.2600,34663
2020-05-26,10.2700,10.2700,10.1800,10.1950,68508
2020-05-27,10.1300,10.2100,10.0600,10.2100,56442
2020-05-28,10.1800,10.3000,10.1500,10.2000,67877
2020-05-29,10.1500,10.4900,10.1500,10.2500,307100
2020-06-01,10.3700,10.3700,10.1500,10.2500,82050
2020-06-02,10.2000,10.2700,10.1950,10.2500,101423
2020-06-03,10.2700,10.3000,10.2101,10.2500,70648
2020-06-04,10.2900,10.3000,10.2200,10.2500,72515
2020-06-05,10.3300,10.4300,10.0500,10.2500,310217
2020-06-08,10.2400,10.4500,10.0600,10.2400,386696
2020-06-09,10.4000,10.4200,10.1700,10.2900,1057976
2020-06-10,10.5300,10.9000,10.1100,10.5000,1065787
2020-06-11,10.5000,10.5831,10.3000,10.4000,397196
2020-06-12,10.5700,10.5940,10.3000,10.4500,74964
2020-06-15,10.5100,10.6000,10.3800,10.5000,71288
2020-06-16,10.5900,10.5900,10.3000,10.4900,464504
2020-06-17,10.5900,10.6100,10.4000,10.5600,373367
2020-06-18,10.6000,10.7200,10.4800,10.5100,266317
2020-06-19,10.5500,10.6000,10.4330,10.5300,570558
2020-06-22,10.6900,10.6900,10.4000,10.4700,636435
2020-06-23,10.5500,10.6000,10.3500,10.5700,359813
2020-06-24,10.5700,10.6000,10.3700,10.5000,400048
2020-06-25,10.5000,10.8500,10.4400,10.7500,559750
2020-06-26,10.7300,10.8600,10.5000,10.6500,596959
2020-06-29,10.7800,10.8400,10.6200,10.7600,628800
2020-06-30,10.8000,10.9800,10.7500,10.9800,517400
2020-07-01,11.0000,11.2500,10.9300,10.9600,452500
2020-07-02,10.9600,11.0000,10.8700,10.9000,283500
2020-07-06,11.0000,11.3600,11.0000,11.2600,2559400
2020-07-07,11.5000,11.6000,10.9200,11.1500,545300
2020-07-08,11.1500,11.3200,11.0200,11.1800,371700
2020-07-09,11.3800,11.3900,10.9500,11.2200,292800
2020-07-10,11.2400,11.2400,11.0300,11.2100,118100
2020-07-13,11.7400,11.7400,10.5700,11.0600,521800
2020-07-14,10.7700,11.2400,10.7700,11.0000,126700
2020-07-15,10.9300,11.1300,10.8100,10.9900,138000
2020-07-16,11.9700,12.4400,11.0100,12.2100,7878800
2020-07-17,12.2000,12.8500,11.8600,12.3000,3118200
2020-07-20,12.3800,12.5500,11.2300,11.6200,975086
2020-07-21,11.6000,12.3300,11.4800,12.2000,1271639
2020-07-22,12.0600,12.3000,11.8000,12.1900,532117
2020-07-23,12.1100,12.3000,11.6500,11.7500,471148
2020-07-24,11.6100,12.1500,11.4400,11.6900,485483
2020-07-27,11.7700,11.7800,11.2700,11.4400,301719
2020-07-28,11.5000,11.5300,11.3100,11.3800,251342
2020-07-29,11.4000,11.5000,11.1700,11.2500,337605
2020-07-30,11.1700,11.3400,10.9000,10.9300,459978
2020-07-31,10.9900,11.1400,10.4800,10.5900,897373
2020-08-03,10.6500,10.7000,10.2600,10.5200,797707
2020-08-04,10.6700,10.8500,10.5200,10.6500,472623
2020-08-05,10.8300,10.8300,10.4800,10.6600,1039432
2020-08-06,10.8000,10.8000,10.5500,10.7900,168592
2020-08-07,10.8500,10.8500,10.5000,10.6000,613994
2020-08-10,10.6000,10.7500,10.5100,10.7400,157027
2020-08-11,10.6100,10.7400,10.5700,10.7100,324677
2020-08-12,10.6500,11.0999,10.6500,10.9000,1117156
2020-08-13,10.9400,11.0900,10.9000,10.9900,330059
2020-08-14,11.0500,11.1500,10.7900,10.8700,125864
2020-08-17,10.7500,11.0509,10.7500,10.8900,178855
2020-08-18,10.8000,10.9200,10.6600,10.6900,332793
2020-08-19,10.7600,10.8300,10.3500,10.3600,434091
2020-08-20,10.3700,10.5800,10.3700,10.5500,155508
2020-08-21,10.4400,10.7900,10.4201,10.6000,225742
2020-08-24,10.6000,10.7400,10.5200,10.7100,240770
2020-08-25,10.6200,10.9700,10.6200,10.8800,405200
2020-08-26,11.0000,11.3900,10.7000,10.8700,395743
2020-08-27,11.1800,11.1800,10.6500,10.6800,682895
2020-08-28,10.8700,10.8800,10.6500,10.7400,254003
2020-08-31,10.8700,11.2000,10.6700,10.7500,338987
2020-09-01,10.8400,11.6200,10.7400,11.0000,568437
2020-09-02,13.6500,14.7000,12.2200,14.0200,45908914
2020-09-03,13.1200,13.7700,12.8000,13.1400,7003400
2020-09-04,13.2500,13.4200,12.0000,12.6400,3827432
2020-09-08,12.1500,12.6000,12.0500,12.3000,2460266
2020-09-09,12.5500,13.2800,12.2100,12.8800,3812530
2020-09-10,13.2500,13.2500,12.2400,12.3600,3308409
