date,open,high,low,close,volume
2021-01-08,5.9000,6.0000,5.0750,5.6000,2057017
2021-01-11,6.0000,6.2299,5.7100,6.0500,4244921
2021-01-12,6.0000,6.1000,5.7500,6.0000,1262857
2021-01-13,5.9800,6.2700,5.9100,6.1500,3085765
2021-01-14,6.1600,6.2300,5.9500,6.1200,886299
2021-01-15,6.0700,6.0900,5.8100,5.9600,628512
2021-01-19,6.0200,6.2000,5.9200,6.0900,768714
2021-01-20,6.0800,6.2200,5.8500,6.0800,1098836
2021-01-21,6.0000,6.1150,5.8800,6.0400,688196
2021-01-22,5.9500,6.1650,5.9300,6.0200,525398
2021-01-25,6.6400,7.7500,6.3200,7.5300,7982041
2021-01-26,6.7900,7.0000,6.0500,6.4600,13237966
2021-01-27,6.9500,7.0000,6.2500,6.3300,5607387
2021-01-28,6.3500,6.5600,6.0500,6.4000,2181437
2021-01-29,6.4500,6.5000,5.9200,6.0300,2204668
2021-02-01,6.1000,6.2900,5.8600,6.2200,1467443
2021-02-02,6.3500,6.5000,6.0400,6.5000,1357244
2021-02-03,6.5900,6.8500,6.5200,6.6000,3451487
2021-02-04,7.0200,7.7500,6.9800,7.2000,5336535
2021-02-05,7.3929,7.7500,7.0200,7.3400,2647093
2021-02-08,7.9972,9.8799,7.9610,9.4400,6236229
2021-02-09,9.3535,9.7400,8.8100,9.1000,2596030
2021-02-10,9.2200,10.3400,9.1400,9.9500,3400626
2021-02-11,10.0400,10.2500,9.0300,9.5200,2532164
2021-02-12,9.3500,9.9100,9.1337,9.3200,2210786
2021-02-16,10.3000,11.7500,10.2500,10.8900,4195962
2021-02-17,10.9100,11.2389,10.3800,10.5400,2444169
2021-02-18,10.4000,10.8899,9.7000,9.7800,2183547
2021-02-19,10.0700,10.6700,9.7100,10.5400,2116800
2021-02-22,11.3800,11.7500,10.2600,10.4500,2873057
2021-02-23,9.9500,10.2099,8.4800,9.9100,2394000
2021-02-24,9.9100,10.2000,9.4000,9.5200,1847350
2021-02-25,9.5200,9.5200,8.5500,8.7100,2508563
2021-02-26,8.9000,10.1700,8.4000,9.4800,3018662
2021-03-01,10.6400,10.7200,9.4400,9.8000,6229162
2021-03-02,10.2500,10.4762,8.1400,9.4300,8791855
2021-03-03,15.7700,18.1500,12.6000,13.4700,59212045
2021-03-04,11.3300,12.2000,9.0500,9.6300,10114028
2021-03-05,10.4267,10.4500,8.2100,10.0500,5230232
2021-03-08,9.9547,9.9900,9.1800,9.3300,3774969
2021-03-09,9.3000,9.5095,8.8100,9.0100,3225184
2021-03-10,9.1700,10.8800,9.0000,10.3000,6210388
2021-03-11,10.3900,10.6463,9.7500,9.9800,3344030
2021-03-12,9.2500,9.6187,9.1000,9.3900,4157903
2021-03-15,9.3000,12.9000,9.0000,11.9300,20027053
2021-03-16,13.5300,13.8000,10.4200,11.0300,13968840
2021-03-17,10.3100,11.7900,10.0000,11.4200,5018815
2021-03-18,11.0600,11.7600,10.7000,10.8400,2654071
2021-03-19,10.6700,11.5000,10.3010,11.1200,4076697
2021-03-22,10.9900,11.3800,10.5500,10.6800,1990891
2021-03-23,10.6900,10.7600,9.7600,10.0200,1952638
2021-03-24,9.9800,10.0650,9.0300,9.0600,3131042
2021-03-25,9.0000,9.7300,8.8600,9.6100,1401956
2021-03-26,9.5000,9.6800,9.2200,9.3500,791189
2021-03-29,9.2800,10.1000,9.2000,9.6300,1373080
2021-03-30,9.4000,9.8400,9.2580,9.5700,663639
2021-03-31,9.6000,9.9800,9.2000,9.2000,1635449
2021-04-01,9.3900,9.8300,9.3900,9.5000,793489
2021-04-05,9.6600,9.9400,9.3700,9.8900,930658
2021-04-06,9.8500,10.0500,9.6500,9.8000,658782
2021-04-07,9.6800,10.3800,9.6100,10.3800,1302465
2021-04-08,10.2831,10.2900,9.8200,10.1900,1003257
2021-04-09,9.4800,9.6200,9.0200,9.1500,2453704
2021-04-12,9.0800,9.1500,8.3001,8.7200,2344371
2021-04-13,8.7500,8.9630,8.5200,8.6500,785131
2021-04-14,8.8500,9.7900,8.7010,9.1800,1661270
2021-04-15,9.0900,9.1500,8.6400,8.7800,983928
2021-04-16,8.7900,8.8200,8.4200,8.6000,763115
2021-04-19,8.5000,8.7116,8.2300,8.6900,1274295
2021-04-20,8.5800,9.0100,8.2900,8.9700,1111151
2021-04-21,8.8400,9.1400,8.7270,8.9200,1136994
2021-04-22,9.0400,9.3299,8.7900,9.0500,688683
2021-04-23,9.0800,9.3500,8.9001,9.1700,684614
2021-04-26,9.2200,9.4485,9.1500,9.3500,537394
2021-04-27,9.4000,9.4900,9.1300,9.4600,699716
2021-04-28,9.4600,9.6500,9.2800,9.6200,468010
2021-04-29,9.6200,9.8500,9.4000,9.7600,688085
2021-04-30,9.5400,9.8500,9.4000,9.7300,504333
2021-05-03,9.6600,9.7600,9.2100,9.2700,464175
2021-05-04,9.2000,9.2500,8.8300,9.2000,407945
2021-05-05,9.1700,9.2000,8.9000,9.0500,359377
2021-05-06,8.9200,9.0600,8.6501,8.8400,502980
2021-05-07,9.0800,9.7100,9.0600,9.5000,941647
2021-05-10,9.4300,9.4532,8.6800,8.8900,799916
2021-05-11,8.3700,9.1700,8.3500,8.7300,566604
2021-05-12,8.7300,8.9700,8.6500,8.8100,592745
2021-05-13,8.7800,8.8500,8.3800,8.5200,967016
2021-05-14,8.6400,9.2000,8.5200,9.1100,896908
2021-05-17,8.9494,9.2900,8.8800,9.2300,429046
2021-05-18,9.3200,10.0500,9.1850,9.7600,1040874
2021-05-19,9.5236,9.8600,9.2500,9.8200,443100
2021-05-20,9.8200,10.2000,9.7800,9.9900,558633
2021-05-21,10.0600,10.0600,9.7500,9.9100,437927
2021-05-24,9.9900,10.1600,9.7867,10.0400,532195
2021-05-25,10.0300,10.1500,9.8400,10.0100,356975
2021-05-26,10.0500,10.0700,9.8500,9.8600,365804
2021-05-27,9.8500,10.0500,9.7100,10.0500,342119
2021-05-28,10.0000,10.5156,9.9500,10.2400,700141
2021-06-01,10.4600,11.1000,10.3600,10.8700,889702
2021-06-02,10.9000,11.0785,10.5400,10.6400,579235
2021-06-03,10.5200,11.3000,10.3600,11.1000,716850
2021-06-04,11.1000,11.3700,10.9600,11.3200,412800
2021-06-07,11.4500,12.2900,11.3700,12.0800,1234489
2021-06-08,12.2300,12.4990,11.8000,12.2100,718275
2021-06-09,12.4100,12.7100,12.2500,12.4800,812810
2021-06-10,12.6000,13.8400,12.3500,13.3500,1488811
2021-06-11,13.3800,15.5000,13.3600,14.6200,2315246
2021-06-14,15.6600,15.6967,14.1800,14.4000,1419014
2021-06-15,14.6000,15.0800,14.0448,15.0000,816386
2021-06-16,15.2000,15.4100,14.4300,15.0300,1414968
2021-06-17,15.0000,15.6050,14.8400,15.4700,1264906
2021-06-18,15.1500,15.2095,13.1100,13.9300,3182889
2021-06-21,13.7100,14.3300,13.2100,14.0700,1641353
2021-06-22,14.1500,14.2300,13.8600,14.0900,709002
2021-06-23,14.1000,14.4400,13.7300,14.3000,854246
2021-06-24,14.3700,14.5200,14.0000,14.2500,921278
2021-06-25,14.2300,14.4700,13.9600,14.2700,4428068
2021-06-28,13.8401,14.0100,12.9000,13.2000,1218748
2021-06-29,13.3400,13.3400,12.5900,13.1900,1012090
2021-06-30,12.9300,13.1200,12.4200,12.8200,1005299
2021-07-01,12.8500,13.3500,12.6100,13.3100,582689
2021-07-02,13.2200,13.3100,12.6800,12.9500,494992
2021-07-06,12.4900,12.8300,11.9200,12.7900,721306
2021-07-07,12.8500,12.9400,12.2500,12.6900,377049
2021-07-08,12.2800,13.0400,12.2000,12.9600,536959
2021-07-09,12.9000,13.5500,12.9000,13.3100,383884
2021-07-12,13.0900,13.3000,13.0000,13.2200,282913
2021-07-13,13.1000,13.1000,12.0500,12.1600,848977
2021-07-14,12.1100,12.3620,11.5200,11.6400,945382
2021-07-15,11.6300,11.6300,10.8540,11.3000,782754
2021-07-16,11.4600,11.4600,10.8700,10.9900,668437
2021-07-19,10.6300,10.9473,10.3790,10.7900,636965
2021-07-20,10.8600,11.3600,10.7000,11.1200,558980
2021-07-21,11.3200,11.6600,11.1400,11.3600,807226
2021-07-22,11.2200,11.3000,10.7538,10.9900,524104
2021-07-23,11.1100,11.1100,10.6500,10.7500,336656
2021-07-26,10.6900,11.0300,10.5711,10.7500,261426
2021-07-27,10.6800,10.8900,10.4100,10.7600,423423
2021-07-28,10.9000,11.1600,10.8000,10.9900,318175
